City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Riyadh,SA,2022-02-05 06:10:03,24.6877,46.7219,60.85,31,16,16.11,few clouds
147,Ratnagiri,IN,2022-02-05 06:14:44,16.9833,73.3,78.71,50,10,5.44,clear sky
148,Bethel,US,2022-02-05 06:11:37,41.3712,-73.414,26.96,83,75,6.91,broken clouds
149,Daru,PG,2022-02-05 06:10:07,-9.0763,143.2092,87.67,66,100,14.09,overcast clouds
150,Marsa Matruh,EG,2022-02-05 06:14:46,31.3525,27.2453,54.27,68,32,16.24,scattered clouds
151,Kolokani,ML,2022-02-05 06:14:49,13.5728,-8.0339,62.92,16,0,9.08,clear sky
152,Novobirilyussy,RU,2022-02-05 06:11:07,56.9514,90.6661,22.96,78,100,12.73,overcast clouds
153,Wanaka,NZ,2022-02-05 06:13:15,-44.7,169.15,57.54,70,96,3.96,overcast clouds
154,Gigmoto,PH,2022-02-05 06:14:54,13.7796,124.39,79.27,77,96,17.74,light rain
155,Kaniama,CD,2022-02-05 06:14:54,-7.5667,24.1833,66.0,91,100,1.9,overcast clouds
156,San Patricio,US,2022-02-05 06:14:55,28.017,-97.5169,39.06,77,5,9.71,clear sky
157,Abalak,RU,2022-02-05 06:12:11,58.1286,68.5944,21.99,91,100,5.84,overcast clouds
158,La Ronge,CA,2022-02-05 06:14:57,55.1001,-105.2842,-7.35,71,100,8.05,overcast clouds
159,Lazaro Cardenas,MX,2022-02-05 06:14:58,17.9583,-102.2,70.05,86,3,4.34,clear sky
160,Hovd,MN,2022-02-05 06:14:59,48.0056,91.6419,-1.7,79,4,3.8,clear sky
161,Barrow,US,2022-02-05 06:06:10,71.2906,-156.7887,-9.38,70,100,6.91,overcast clouds
162,Los Llanos De Aridane,ES,2022-02-05 06:14:59,28.6585,-17.9182,58.12,70,0,7.0,clear sky
163,Sangar,RU,2022-02-05 06:15:00,63.9242,127.4739,-26.0,96,99,1.01,overcast clouds
164,Severo-Kurilsk,RU,2022-02-05 06:15:01,50.6789,156.125,29.71,92,95,9.4,light snow
165,Saint George,US,2022-02-05 06:14:10,37.1041,-113.5841,40.35,36,0,5.99,clear sky
166,Ca Mau,VN,2022-02-05 06:15:02,9.1769,105.15,93.31,38,51,19.17,broken clouds
167,Guerrero Negro,MX,2022-02-05 06:15:03,27.9769,-114.0611,58.28,36,0,1.88,clear sky
168,Phan Thiet,VN,2022-02-05 06:12:22,10.9333,108.1,89.15,47,97,23.42,overcast clouds
169,Codrington,AU,2022-02-05 06:15:04,-38.2667,141.9667,70.16,58,99,20.78,overcast clouds
170,Tonj,SS,2022-02-05 06:15:05,7.2737,28.6822,75.38,18,63,9.01,broken clouds
171,Pervomayskiy,RU,2022-02-05 06:15:06,53.2485,40.2871,7.03,93,17,10.31,few clouds
172,Camacha,PT,2022-02-05 06:15:07,33.0833,-16.3333,60.22,88,40,10.36,scattered clouds
173,Morehead,US,2022-02-05 06:15:07,37.2711,-87.1764,20.95,86,75,0.0,broken clouds
174,Souillac,MU,2022-02-05 06:15:08,-20.5167,57.5167,82.78,83,75,19.57,light rain
175,Uyuni,BO,2022-02-05 06:15:08,-20.4597,-66.825,44.85,38,8,12.44,clear sky
176,Beringovskiy,RU,2022-02-05 06:06:12,63.05,179.3167,-10.82,88,29,11.7,scattered clouds
177,Concarneau,FR,2022-02-05 06:15:10,47.875,-3.9225,45.37,82,36,5.91,scattered clouds
178,Guadalupe Y Calvo,MX,2022-02-05 06:15:11,26.1,-106.9667,29.05,69,0,7.74,clear sky
179,Esperance,AU,2022-02-05 06:15:11,-33.8667,121.9,83.07,49,2,20.2,clear sky
180,Alihe,CN,2022-02-05 06:15:12,50.5667,123.7167,11.12,60,100,7.56,overcast clouds
181,Laguna,US,2022-02-05 06:16:13,38.421,-121.4238,52.77,76,0,0.0,clear sky
182,Myaundzha,RU,2022-02-05 06:16:14,63.0494,147.1858,-14.96,75,12,3.56,few clouds
